ID,Item_name,Warranty Period(Days),RAM type,Screen Size,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
156,HP 15-BS103nv (i5-8250U/6GB/256GB/Radeon Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,6,256GB SSD,AMD Radeon 520,Windows 10,1.91,619
157,Lenovo Yoga 520-14IKB 2 in 1 Convertible,1,DDR2,14,Intel Core i3 7100U 2.4GHz,4,256GB SSD,Intel HD Graphics 620,Windows 10,1.74,629
158,Asus ZenBook Flip 2 in 1 Convertible,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.1,1315
159,Dell Inspiron 5579 2 in 1 Convertible,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.56,1049
160,Toshiba Satellite Pro Notebook,1,DDR2,15.6,Intel Core i3 6006U 2.2GHz,4,500GB HDD,Intel HD Graphics 520,Windows 10,2.1,447
161,Asus X555BP-XX180T (A9-9420/4GB/1TB/Radeon Notebook,1,DDR2,15.6,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5 M420,Windows 10,2.03,403
162,Acer Aspire A517-51G Notebook,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Nvidia GeForce MX150,Windows 10,3,805
163,Dell Inspiron 3576 Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 520,Windows 10,2.13,728
164,Lenovo Legion Y520-15IKBN Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1079
165,Acer Aspire A315-31 Notebook,3,DDR2,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,Windows 10,2.1,348
166,MSI GE63VR 7RE Gaming,3,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.4,1799
167,Acer Aspire 3 Notebook,3,DDR2,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,Windows 10,2.1,363.51
168,Dell Inspiron 5577 Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56,1060.49
169,Acer Aspire A517-51G Notebook,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,3,854
170,HP ProBook 430 Notebook,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,Windows 10,1.49,754
171,Huawei MateBook X Ultrabook,1,DDR2,13,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,1349
172,HP 17-bs001nv (i5-20U/6GB/2TB/Radeon Notebook,1,DDR2,17.3,Intel Core i5 20U 2.5GHz,6,2TB HDD,AMD Radeon 520,Windows 10,2.71,699
173,Lenovo IdeaPad 320-15AST Notebook,1,DDR2,15.6,AMD A6-Series 9220 2.9GHz,4,500GB HDD,AMD Radeon R4 Graphics,No OS,2.2,309
174,Toshiba Satellite Pro Notebook,1,DDR2,15.6,Intel Core i3 7100U 2.4GHz,4,500GB HDD,Intel HD Graphics 620,Windows 10,2,489
175,HP ProBook 470 Notebook,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.5,923
176,Dell Inspiron 3567 Notebook,1,DDR2,15.6,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.3,459
177,Acer Aspire A315-51 Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Windows 10,2.1,449
178,MSI GT80S 6QF-074US Gaming,1,DDR2,18.4,Intel Core i7 6920HQ 2.9GHz,32,512GB SSD + 1TB HDD,Nvidia GTX 980 SLI,Windows 10,4.4,2799
179,Lenovo V310-15IKB (i5-20U/8GB/1TB Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,128GB SSD + 1TB HDD,AMD R17M-M1-70,Windows 10,1.9,813
180,HP Spectre x360 2 in 1 Convertible,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.29,1499
181,Dell Inspiron 5570 Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,16,256GB SSD + 2TB HDD,AMD Radeon 530,Linux,2.02,1049
182,Dell XPS 13 Ultrabook,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.23,1399
183,Lenovo Yoga 920-13IKB 2 in 1 Convertible,1,DDR2,13.9,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4,1849
184,Toshiba Satellite Pro Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,Windows 10,2,793
185,Xiaomi Mi Notebook Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,No OS,1.95,1199
186,Dell Inspiron 7773 Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 150MX,Windows 10,2.77,1549
187,Dell XPS 15 Notebook,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,2397
188,Lenovo Legion Y520-15IKBN Gaming,1,DDR2,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,No OS,2.4,779
189,Acer Swift 7 Ultrabook,1,DDR2,13.3,Intel Core i5 7Y54 1.2GHz,8,256GB SSD,Intel HD Graphics 615,Windows 10,1.12,989
190,Dell Inspiron 5770 Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,8,128GB SSD + 1TB HDD,AMD Radeon 530,Windows 10,2.8,1085
191,Lenovo Thinkpad Yoga 2 in 1 Convertible,1,DDR2,14,Intel Core i7 7500U 2.7GHz,16,1TB SSD,Intel HD Graphics 620,Windows 10,1.42,2824
192,Vero K147 (N3350/4GB/32GB/FHD/W10) Notebook,1,DDR2,14,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.3,260
193,Xiaomi Mi Notebook Ultrabook,1,DDR2,13.3,Intel Core i5 20U 2.5GHz,8,256GB SSD,Nvidia GeForce MX150,No OS,1.3,999.9
194,Lenovo IdeaPad 320-17IKBR Notebook,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,No OS,2.8,698
195,Dell Inspiron 5379 2 in 1 Convertible,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62,839
196,HP ProBook 470 Notebook,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,914
197,Razer Blade Pro Gaming,1,DDR2,17.3,Intel Core i7 7820HK 2.9GHz,32,1TB SSD,Nvidia GeForce GTX 1080,Windows 10,3.49,6099
198,HP ProBook 430 Notebook,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,959
199,HP Omen 17-W295 Gaming,1,DDR2,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35,1379
200,HP Probook 470 Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.5,1045
201,Dell Inspiron 7577 Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,1845
202,Lenovo V110-15ISK (i5-6200U/4GB/128GB/W10) Notebook,1,DDR2,15.6,Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,Windows 10,2.1,493
203,Acer Aspire E5-576G Notebook,1,DDR2,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 940MX,Windows 10,2.23,742
204,Lenovo Legion Y2-15IKB Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,1749
205,Dell Precision 7520 Workstation,1,DDR2,15.6,Intel Xeon E3-1505M V6 3GHz,16,256GB SSD + 1TB HDD,Nvidia Quadro M1200,Windows 10,2.8,3055
206,Lenovo Legion Y520-15IKBN Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1060,No OS,2.4,1398
207,Dell Inspiron 3567 Notebook,1,DDR2,15.6,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,Windows 10,2.3,439
208,Dell XPS 13 Ultrabook,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,1949
209,Dell XPS 13 Ultrabook,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2,1449
210,Lenovo IdeaPad 320-15IKBN Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,597
211,Acer Aspire 7 Notebook,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4,779
212,Asus ROG GL703VD-GC028T Gaming,1,DDR2,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9,1407
213,HP 15-bs018nq (i3-6006U/4GB/500GB/FHD/No Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,2.1,349
214,Lenovo IdeaPad 320-15IKBN Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,No OS,2.2,549
215,Huawei MateBook X Ultrabook,1,DDR2,13,Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,Windows 10,1.05,1499
216,Dell Inspiron 5370 Ultrabook,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.4,931.88
217,Lenovo IdeaPad 320-17IKB Notebook,1,DDR2,17.3,Intel Core i5 20U 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 940MX,No OS,2.8,589
218,HP Probook 440 Notebook,1,?,14,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.63,1031
219,Dell Latitude 5490 Ultrabook,1,DDR2,14,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,1149
220,Dell Inspiron 5379 2 in 1 Convertible,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.62,1279
221,Dell Inspiron 3576 Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 520,Linux,2.2,677.35
222,Lenovo Yoga 520-14IKB 2 in 1 Convertible,1,DDR2,14,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.74,899
223,Toshiba Portege Z30-C-16L Ultrabook,1,DDR2,13.3,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,Windows 10,1.2,1363
224,HP ProBook 450 Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,Windows 10,2.1,794
225,Dell Alienware 17 Gaming,1,DDR2,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42,2456.34
226,Acer Aspire E5-576G Notebook,1,DDR2,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.2,832
227,Dell Inspiron 5567 Notebook,1,DDR2,15.6,Intel Core i7 7500U 2.7GHz,16,1TB HDD,AMD Radeon R7 M445,Windows 10,2.3,859.01
228,Asus Vivobook X541UV-DM1217T Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,256GB SSD,Nvidia GeForce 920MX,Windows 10,2,769
229,Asus K756UX-T4340T (i5-20U/8GB/500GB Notebook,1,DDR2,17.3,Intel Core i5 20U 2.5GHz,8,256GB SSD + 500GB HDD,Nvidia GeForce GTX 950M,Windows 10,2.69,891
230,HP ZBook 15u Notebook,1,DDR2,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD FirePro W4190M,Windows 10,1.9,1269
231,Asus Pro P2540UA-XO0198T Notebook,1,?,15.6,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.37,398.99
232,HP 15-rb013nv (E2-9000e/4GB/500GB/W10) Notebook,1,?,15.6,AMD E-Series 9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,Windows 10,2.1,330
233,Lenovo Legion Y2-15IKB Gaming,1,?,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,1499
234,Dell Vostro 5468 Notebook,1,?,14,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.6,859
235,Acer Aspire R7 2 in 1 Convertible,1,?,13.3,Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,Windows 10,1.6,689
236,Dell Inspiron 5567 Notebook,1,?,15.6,Intel Core i7 7500U 2.7GHz,16,256GB SSD,AMD Radeon R7 M445,Linux,2.36,899
237,Acer Aspire A315-51 Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Linux,2.1,390
238,Asus X555QG-DM242T (A10-9620P/4GB/1TB Notebook,1,DDR2,15.6,AMD A10-Series A10-9620P 2.5GHz,4,128GB SSD + 1TB HDD,AMD Radeon R5 M430,Windows 10,2.2,575
239,Asus ROG G703VI-E5062T Gaming,1,DDR2,17.3,Intel Core i7 7820HK 2.9GHz,32,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1080,Windows 10,4.7,3890
240,Acer Nitro AN515-51 Gaming,1,DDR2,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5,846
241,Lenovo IdeaPad 320-15ISK Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,8,128GB SSD,Intel HD Graphics 520,Windows 10,2.2,589
242,Asus VivoBook Pro Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce 150MX,Windows 10,2.1,1145
243,Asus F756UX-T4201D (i7-7500U/8GB/128GB Notebook,0,DDR2,17.3,Intel Core i7 7500U 2.7GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce GTX 950M,No OS,2.69,889
244,Dell Inspiron 5577 Gaming,1,DDR2,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56,879
245,Lenovo Yoga 910-13IKB 2 in 1 Convertible,1,DDR2,13.9,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.38,1079
246,Dell Inspiron 5570 Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,128GB SSD + 2TB HDD,AMD Radeon 530,Windows 10,2.2,985
247,HP 15-bs015dx (i5-20U/8GB/1TB/W10) Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.04,559
248,Asus Rog G701VIK-BA060T Gaming,1,DDR2,17.3,Intel Core i7 7820HK 2.9GHz,16,256GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.6,2999
249,HP ProBook 430 Notebook,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,Windows 10,1.49,675
250,Apple MacBook Pro Ultrabook,1,DDR2,13.3,Intel Core i5 3.1GHz,8,512GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,2040
251,Dell Inspiron 5579 2 in 1 Convertible,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08,819
252,Asus ROG G752VSK-GC493T Gaming,1,DDR2,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 980M,Windows 10,4.3,1799
253,Asus X505BP-BR019T (A9-9420/4GB/1TB/Radeon Notebook,1,DDR2,15.6,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5 M420,Windows 10,1.68,469
254,Lenovo Yoga 920-13IKB 2 in 1 Convertible,1,DDR2,13.9,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.37,1849
255,Acer Aspire 5 Notebook,1,DDR2,17.3,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,Windows 10,3,702
256,Dell Vostro 5370 Ultrabook,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.41,949
257,HP 15-BW094nd (A6-9220/8GB/128GB/W10) Notebook,1,DDR2,15.6,AMD A6-Series A6-9220 2.5GHz,8,128GB SSD,AMD Radeon R4 Graphics,Windows 10,1.91,445.9
258,HP Envy 17-U275cl Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,16,1TB HDD,Nvidia GeForce MX150,Windows 10,2.9,1059
259,MSI GT73EVR 7RE Gaming,1,DDR2,17.3,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.14,2499
260,Lenovo Yoga 2-15IKB 2 in 1 Convertible,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Nvidia GeForce GTX 1050M,Windows 10,2,1699
261,Dell Inspiron 5770 Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,8,128GB SSD + 1TB HDD,AMD Radeon 530,Windows 10,2.8,1142
262,Lenovo IdeaPad 320-15ISK Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,No OS,2.2,444
263,HP ProBook 450 Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel HD Graphics 620,Windows 10,2.1,722
264,Dell Vostro 3568 Notebook,1,?,15.6,Intel Core i5 20U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.18,657
265,Dell Inspiron 3567 Notebook,1,?,15.6,Intel Core i5 20U 2.5GHz,8,1TB HDD,AMD Radeon R5 M430,Windows 10,2.24,565
266,Dell Inspiron 5579 2 in 1 Convertible,1,?,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.67,799
267,Asus ZenBook Flip 2 in 1 Convertible,1,?,13.3,Intel Core i7 8550U 1.8GHz,8,512GB SSD + 512GB SSD,Intel UHD Graphics 620,Windows 10,1.1,1499
268,Lenovo IdeaPad 320-15IKBN Notebook,1,?,15.6,Intel Core i5 20U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,No OS,2.2,467
269,HP Probook 470 Notebook,1,?,17.3,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,1018
270,Lenovo V330-15IKB (i7-8550U/8GB/256GB/FHD/W10) Notebook,1,?,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05,880
271,Apple MacBook Pro Ultrabook,1,DDR2,13.3,Intel Core i5 2.9GHz,8,512GB SSD,Intel Iris Graphics 550,macOS,1.37,1958.9
272,Asus Rog Strix Gaming,1,DDR2,17.3,AMD Ryzen 1700 3GHz,16,256GB SSD + 1TB HDD,AMD Radeon RX 580,Windows 10,3.2,1549
273,Dell Inspiron 3576 Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,Linux,2.14,735.07
274,Lenovo ThinkPad X1 2 in 1 Convertible,1,DDR2,14,Intel Core i7 6600U 2.6GHz,16,512GB SSD,Intel HD Graphics 520,Windows 10,1.36,2499
275,Toshiba Satellite Pro Notebook,1,DDR2,15.6,Intel Core i7 6500U 2.5GHz,8,500GB HDD,Nvidia GeForce 930M,Windows 10,2.2,812
276,Dell Inspiron 5567 Notebook,1,DDR2,15.6,Intel Core i7 7500U 2.7GHz,12,1TB HDD,Intel HD Graphics 620,Windows 10,2.3,713.07
277,Dell Inspiron 5770 Notebook,3,DDR2,17.3,Intel Core i7 8550U 1.8GHz,8,128GB SSD + 1TB HDD,AMD Radeon 530,Linux,2.8,1099
278,Acer Aspire A515-51G Notebook,2,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,745
279,Lenovo IdeaPad 320-17ISK Notebook,2,DDR2,17.3,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows 10,2.8,489
280,Lenovo IdeaPad 320-17IKBR Notebook,2,DDR2,17.3,Intel Core i7 8550U 1.8GHz,8,2TB HDD,Nvidia GeForce MX150,No OS,2.8,849
281,Lenovo IdeaPad 320-17IKB Notebook,2,DDR2,17.3,Intel Core i7 7500U 2.7GHz,6,128GB SSD + 1TB HDD,Nvidia GeForce 940MX,Windows 10,2.8,859
282,Dell Inspiron 3567 Notebook,2,DDR2,15.6,Intel Core i3 6006U 2.0GHz,4,1TB HDD,AMD Radeon R5 M430,Linux,2.25,428
283,Lenovo Legion Y520-15IKBN Gaming,2,DDR2,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5,829
284,Lenovo Ideapad 320-15IKBN Notebook,2,DDR2,15.6,Intel Core i5 20U 2.5GHz,6,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,579
285,Acer Aspire A517-51G Notebook,2,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,3,951
286,Acer SP315-51 (i7-7500U/12GB/1TB/FHD/W10) Notebook,1,DDR2,15.6,Intel Core i7 7500U 2.7GHz,12,1TB HDD,Intel HD Graphics 620,Windows 10,2.15,659
287,Lenovo Thinkpad T570 Notebook,2,DDR2,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 630,Windows 10,1.95,1097
288,Asus VivoBook S15 Ultrabook,2,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7,977
289,Lenovo Legion Y520-15IKBN Gaming,2,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1179
290,Lenovo IdeaPad 320-15IKB Notebook,1,?,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,659.01
291,Acer Chromebook C910-C2ST Notebook,1,?,15.6,Intel Celeron Dual Core 3205U 1.5GHz,2,16GB SSD,Intel HD Graphics,Chrome OS,2.19,199
292,Asus FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce Gaming,1,?,17.3,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3,1187
293,HP 17-BS037cl (i3-6006U/8GB/1TB/W10) Notebook,1,DDR2,17.3,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,Windows 10,2.54,489
294,Dell XPS 15 Notebook,1,?,15.6,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2,1829
295,Lenovo V330-15IKB (i5-8250U/8GB/256GB/FHD/W10) Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05,739
296,Lenovo Legion Y2-15IKB Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,1299
297,Acer Aspire A715-71G Notebook,1,?,15.6,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5,979
298,Dell Precision 72 Workstation,1,?,17.3,Intel Core i7 7820HQ 2.9GHz,16,256GB SSD,Nvidia Quadro M1200,Windows 10,3.42,2884.86
299,Lenovo IdeaPad 310-15ABR Notebook,1,?,15.6,AMD A10-Series 9600P 2.4GHz,6,1TB HDD,AMD Radeon R5 430,Windows 10,2.4,499
300,Asus ZenBook UX530UQ-PRO Ultrabook,1,?,15.6,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Nvidia GeForce 940MX,Windows 10,1.63,1468
301,Asus VivoBook S14 Notebook,1,?,14,Intel Core i3 7100U 2.4GHz,4,128GB SSD,Intel HD Graphics 620,Windows 10,1.3,509
302,Asus Rog GL702VS-GC095T Gaming,1,DDR2,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9,2122
303,Lenovo IdeaPad 320-17IKB Notebook,1,?,17.3,Intel Core i5 20U 2.5GHz,6,1TB HDD,Nvidia GeForce GTX 940M,Windows 10,2.8,649
304,Lenovo IdeaPad 320-15IKBN Notebook,1,?,15.6,Intel Core i5 20U 2.5GHz,8,2TB HDD,Nvidia GeForce 940MX,No OS,2.2,549
305,Asus GL553VE-FY082T (i7-7700HQ/8GB/1TB Gaming,1,?,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1265
306,Lenovo IdeaPad 320-15IAP Notebook,1,DDR2,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,No OS,2.2,359.99
307,HP EliteBook x360 2 in 1 Convertible,1,?,13.3,Intel Core i7 7600U 2.8GHz,16,256GB SSD,Intel HD Graphics 620,Windows 10,1.28,1975
308,Toshiba Satellite Pro Notebook,1,?,15.6,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Nvidia GeForce 930M,Windows 10,2.2,1043
309,Lenovo IdeaPad 320-15IKB Notebook,1,?,15.6,Intel Core i5 20U 2.5GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3,819
310,HP 250 G6 Notebook,1,?,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows 10,1.86,469
311,Lenovo IdeaPad 2S-13IKB Notebook,1,DDR2,13.3,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.1,999
312,Dell XPS 13 Ultrabook,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,16,1TB SSD,Intel UHD Graphics 620,Windows 10,1.21,2499
